"id","DATE","Platform_id","Platform","Location_id","Location","Brand_id","Brand","Product_type","Category","MSL","Comp_flag","Web_Pid","Product","URL","Weight","Reseller_Name","buy_box_neno_osa","neno_osa","deno_osa","listing_percent","MRP","Selling_Price","Discount","Rating","Item_Id","Channel","Product_Subcategory","PPU","image_url","Sales","Qty_Sold","Inventory","DIH","Ad_Clicks","Ad_Impressions","Ad_Quantity_sold","Ad_sales","Ad_Spend","Organic_Impressions"
66798,"2026-03-01","2","Blinkit","1","Bhopal",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",3245,5,"","","","","","","",0
66824,"2026-03-01","2","Blinkit","1","Dehradun",1,"The Derma Co.","Gold","Face Cleaning",0,0,"716071","TDC 2% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/716071","100 g","","","","","","","","","",10263180,"QuickComm","Salicylic Acid",2.9899999999999998,"",3289,11,"","",6.852459016393442,316.16627634660415,2.962529274004684,780.2529274004683,271.07658079625287,1016.5693615297824
66827,"2026-03-01","2","Blinkit","1","Delhi",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",31152,48,"","","","","","","",0
66851,"2026-03-01","2","Blinkit","1","Gurugram",1,"The Derma Co.","Gold","Hair Care",0,0,"699306","TDC Peptide- Stem Cell Hair Fall Control Shampoo","https://blinkit.com/prn/XYZ/prid/699306","200 g","","","","","","","","","",10251515,"QuickComm","Multi-Peptide",2.1946499999999998,"",1632,4,"","",1.391304347826087,98.26086956521742,0.5217391304347827,130.26086956521738,101.58260869565217,1132.8205723573458
66892,"2026-03-01","2","Blinkit","1","Bengaluru",1,"The Derma Co.","Gold","Face Cleaning",0,0,"716071","TDC 2% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/716071","100 g","","","","","","","","","",10263180,"QuickComm","Salicylic Acid",2.9899999999999998,"",8073,27,"","",16.819672131147538,776.0444964871194,7.271662763466044,1915.1662763466043,665.3697892271666,2495.2157055731022
66900,"2026-03-01","2","Blinkit","1","Jodhpur",1,"The Derma Co.","Gold","Face Cleaning",0,0,"716071","TDC 2% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/716071","100 g","","","","","","","","","",10263180,"QuickComm","Salicylic Acid",2.9899999999999998,"",897,3,"","",1.8688524590163937,86.22716627634662,0.8079625292740046,212.79625292740045,73.92997658079625,277.2461895081224
66902,"2026-03-01","2","Blinkit","1","Bhubaneswar",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",1298,2,"","","","","","","",0
66916,"2026-03-01","2","Blinkit","1","Varanasi",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",3245,5,"","","","","","","",0
66936,"2026-03-01","2","Blinkit","1","Bhagalpur",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",1298,2,"","","","","","","",0
66939,"2026-03-01","2","Blinkit","1","Zirakpur",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",1947,3,"","","","","","","",0
66959,"2026-03-01","2","Blinkit","1","Mumbai",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",22715,35,"","","","","","","",0
66997,"2026-03-01","2","Blinkit","1","Mumbai",1,"The Derma Co.","Gold","Hair Care",0,0,"699306","TDC Peptide- Stem Cell Hair Fall Control Shampoo","https://blinkit.com/prn/XYZ/prid/699306","200 g","","","","","","","","","",10251515,"QuickComm","Multi-Peptide",2.1946499999999998,"",2040,5,"","",1.7391304347826089,122.82608695652169,0.6521739130434786,162.82608695652178,126.97826086956522,1416.025715446683
67021,"2026-03-01","2","Blinkit","1","Agra",1,"The Derma Co.","Gold","Face Cleaning",0,0,"716071","TDC 2% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/716071","100 g","","","","","","","","","",10263180,"QuickComm","Salicylic Acid",2.9899999999999998,"",1196,4,"","",2.4918032786885247,114.9695550351288,1.0772833723653394,283.7283372365339,98.57330210772831,369.6615860108301
67024,"2026-03-01","2","Blinkit","1","Ranchi",1,"The Derma Co.","Gold","Face Cleaning",0,0,"716071","TDC 2% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/716071","100 g","","","","","","","","","",10263180,"QuickComm","Salicylic Acid",2.9899999999999998,"",2093,7,"","",4.360655737704917,201.19672131147541,1.8852459016393446,496.52459016393453,172.50327868852463,646.9077755189525
67060,"2026-03-01","2","Blinkit","1","Delhi",1,"The Derma Co.","Gold","Face Care",0,0,"618857","Sali-Cinamide Anti-Acne Serum","https://blinkit.com/prn/XYZ/prid/618857","30 g","","","","","","","","","",10196722,"QuickComm","Sali-Cinamide",19.96666666666666,"",599,1,"","",1.157894736842105,44.578947368421055,0.5789473684210527,176.8947368421053,73.54736842105262,106.3740428130725
67122,"2026-03-01","2","Blinkit","1","Delhi",1,"The Derma Co.","Gold","Face Cleaning",0,0,"538610","The Derma 1% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/538610","100 g","","","","","","","","","",10149007,"QuickComm","Salicylic Acid",2.9899999999999998,"",17342,58,"","",106.5766590389016,4931.459954233409,47.78032036613271,12610.421052631578,5206.037528604118,1850.342030758118
67128,"2026-03-01","2","Blinkit","1","Coimbatore",1,"The Derma Co.","Gold","Face Cleaning",0,0,"538610","The Derma 1% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/538610","100 g","","","","","","","","","",10149007,"QuickComm","Salicylic Acid",2.9899999999999998,"",299,1,"","",1.8375286041189929,85.02517162471395,0.8237986270022885,217.42105263157893,89.75926773455376,31.90244880617443
67155,"2026-03-01","2","Blinkit","1","Jodhpur",1,"The Derma Co.","Gold","Face Cleaning",0,0,"538610","The Derma 1% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/538610","100 g","","","","","","","","","",10149007,"QuickComm","Salicylic Acid",2.9899999999999998,"",1196,4,"","",7.35011441647597,340.10068649885585,3.2951945080091543,869.684210526316,359.03707093821504,127.60979522469775
67355,"2026-03-01","2","Blinkit","1","Ranchi",1,"The Derma Co.","Gold","Sunscreen",0,0,"557394","1% Hyaluronic Sunscreen Aqua Gel 30g","https://blinkit.com/prn/XYZ/prid/557394","30 g","","","","","","","","","",10163122,"QuickComm","Hyaluronic Acid",9.96666666666667,"",3887,13,"","","","","","","",0
